0,st_name,capital,code,,
1,Abia,Umuahia,,NULL,NULL
2,Adamawa,Yola,,NULL,NULL
3,Akwa Ibom,Uyo,,NULL,NULL
4,Anambra,Awka,,NULL,NULL
5,Bauchi,Bauchi,,NULL,NULL
6,Bayelsa,Yenagoa,,NULL,NULL
7,Benue,Makurdi,,NULL,NULL
8,Borno,Maiduguri,,NULL,NULL
9,Cross River,Calabar,,NULL,NULL
10,Delta,Asaba,,NULL,NULL
11,Ebonyi,Abakaliki,,NULL,NULL
12,Edo,Benin City,,NULL,NULL
13,Ekiti,Ado Ekiti,,NULL,NULL
14,Enugu,Enugu,,NULL,NULL
15,Gombe,Gombe,,NULL,NULL
16,Imo,Owerri,,NULL,NULL
17,Jigawa,Dutse,,NULL,NULL
18,Kaduna,Kaduna,,NULL,NULL
19,Kano,Kano,,NULL,NULL
20,Katsina,Katsina,,NULL,NULL
21,Kebbi,Birnin Kebbi,,NULL,NULL
22,Kogi,Lokoja,,NULL,NULL
23,Kwara,Ilorin,,NULL,NULL
24,Lagos,Ikeja,,NULL,NULL
25,Nasarawa,Lafia,,NULL,NULL
26,Niger,Minna,,NULL,NULL
27,Ogun,Abeokuta,,NULL,NULL
28,Ondo,Akure,,NULL,NULL
29,Osun,Oshogbo,,NULL,NULL
30,Oyo,Ibadan,,NULL,NULL
31,Plateau,Jos,,NULL,NULL
32,Rivers,Port Harcourt,,NULL,NULL
33,Sokoto,Sokoto,,NULL,NULL
34,Taraba,Jalingo,,NULL,NULL
35,Yobe,Damaturu,,NULL,NULL
36,Zamfara,Gusau,,NULL,NULL
37,FCT,Abuja,,NULL,NULL
